Start to record CBF use ratio, in 2026.02.16 18: 16: 33

0:  0.0000%, max:  1.4415e-03, min:  3.7253e-08, mean:  6.1600e-04, non_zero_mean:  6.2515e-04, 50%:  6.1671e-04, 75%:  7.9833e-04, 90%:  9.8219e-04, 95%:  1.0688e-03, 99%:  1.2348e-03
1:  0.0977%, max:  1.0952e-02, min:  6.5193e-09, mean:  6.0972e-04, non_zero_mean:  6.2685e-04, 50%:  5.9768e-04, 75%:  7.5513e-04, 90%:  9.2447e-04, 95%:  1.0317e-03, 99%:  1.2322e-03
2:  0.3906%, max:  4.7587e-02, min:  7.4506e-09, mean:  6.8308e-04, non_zero_mean:  7.0511e-04, 50%:  5.7355e-04, 75%:  7.3222e-04, 90%:  8.9721e-04, 95%:  9.8067e-04, 99%:  1.2186e-03
3:  1.0742%, max:  1.3504e-01, min:  7.4506e-09, mean:  1.1658e-03, non_zero_mean:  1.1962e-03, 50%:  5.6869e-04, 75%:  7.4694e-04, 90%:  8.9859e-04, 95%:  1.0068e-03, 99%:  1.0296e-02
4:  1.0742%, max:  1.5275e-01, min:  0.0000e+00, mean:  1.6506e-03, non_zero_mean:  1.6735e-03, 50%:  6.5425e-04, 75%:  8.3563e-04, 90%:  1.0186e-03, 95%:  1.1371e-03, 99%:  1.5677e-02
5:  0.0000%, max:  1.5942e-03, min:  2.6077e-08, mean:  6.2915e-04, non_zero_mean:  6.3661e-04, 50%:  6.2281e-04, 75%:  8.0985e-04, 90%:  9.7817e-04, 95%:  1.1137e-03, 99%:  1.3146e-03
6:  0.1953%, max:  5.1735e-02, min:  2.9802e-08, mean:  7.0707e-04, non_zero_mean:  7.1404e-04, 50%:  6.3263e-04, 75%:  8.0405e-04, 90%:  9.8057e-04, 95%:  1.0976e-03, 99%:  1.2712e-03
7:  0.6836%, max:  5.1986e-02, min:  2.9802e-08, mean:  9.4098e-04, non_zero_mean:  9.4746e-04, 50%:  6.5568e-04, 75%:  8.5805e-04, 90%:  1.0654e-03, 95%:  1.1959e-03, 99%:  2.9369e-03
8:  0.5859%, max:  7.7342e-02, min:  2.9802e-08, mean:  9.6685e-04, non_zero_mean:  9.7831e-04, 50%:  6.9228e-04, 75%:  9.1323e-04, 90%:  1.0855e-03, 95%:  1.1785e-03, 99%:  1.4527e-03
