Start to record CBF use ratio, in 2026.02.16 18: 07: 39

0:  0.0000%, max:  1.6814e-03, min:  0.0000e+00, mean:  1.8961e-04, non_zero_mean:  4.0759e-04, 50%:  7.5391e-07, 75%:  4.3198e-04, 90%:  5.7547e-04, 95%:  6.0974e-04, 99%:  8.0906e-04
1:  0.0000%, max:  1.5045e-03, min:  0.0000e+00, mean:  1.4047e-04, non_zero_mean:  3.5560e-04, 50%:  5.1595e-07, 75%:  3.5949e-04, 90%:  5.3597e-04, 95%:  5.9907e-04, 99%:  6.6457e-04
2:  0.0000%, max:  2.0124e-03, min:  0.0000e+00, mean:  1.6298e-04, non_zero_mean:  3.7126e-04, 50%:  7.3132e-07, 75%:  3.9772e-04, 90%:  5.5130e-04, 95%:  6.1176e-04, 99%:  9.6758e-04
3:  0.0000%, max:  1.2679e-03, min:  0.0000e+00, mean:  1.5884e-04, non_zero_mean:  3.5628e-04, 50%:  7.5251e-07, 75%:  4.0384e-04, 90%:  5.3630e-04, 95%:  5.9314e-04, 99%:  7.0384e-04
4:  0.0000%, max:  2.2068e-03, min:  0.0000e+00, mean:  2.0275e-04, non_zero_mean:  3.8847e-04, 50%:  1.2089e-06, 75%:  4.3457e-04, 90%:  5.6571e-04, 95%:  6.1756e-04, 99%:  1.1719e-03
5:  0.1953%, max:  2.1980e-02, min:  0.0000e+00, mean:  2.2870e-04, non_zero_mean:  4.5352e-04, 50%:  1.0170e-06, 75%:  4.3624e-04, 90%:  5.6753e-04, 95%:  6.4378e-04, 99%:  1.1655e-03
6:  0.0000%, max:  1.7409e-03, min:  7.4506e-09, mean:  2.4373e-04, non_zero_mean:  3.9843e-04, 50%:  2.7008e-06, 75%:  4.7619e-04, 90%:  5.9521e-04, 95%:  6.5859e-04, 99%:  1.2700e-03
7:  0.0000%, max:  2.3104e-03, min:  0.0000e+00, mean:  2.9098e-04, non_zero_mean:  4.4787e-04, 50%:  8.1994e-06, 75%:  5.1848e-04, 90%:  6.1571e-04, 95%:  9.5681e-04, 99%:  1.6238e-03
8:  0.0000%, max:  2.0598e-03, min:  0.0000e+00, mean:  2.6595e-04, non_zero_mean:  3.9912e-04, 50%:  3.6806e-06, 75%:  4.9720e-04, 90%:  6.1289e-04, 95%:  8.2053e-04, 99%:  1.3962e-03
