Start to record CBF use ratio, in 2026.03.01 08: 36: 47

0:  0.0977%, max:  1.1256e-01, min:  0.0000e+00, mean:  1.9074e-04, non_zero_mean:  4.7438e-04, 50%:  5.8161e-07, 75%:  3.9301e-04, 90%:  5.3460e-04, 95%:  5.9862e-04, 99%:  7.0536e-04
1:  0.0244%, max:  4.0714e-02, min:  0.0000e+00, mean:  1.6238e-04, non_zero_mean:  3.7386e-04, 50%:  7.2876e-07, 75%:  3.9568e-04, 90%:  5.4454e-04, 95%:  6.0787e-04, 99%:  7.9818e-04
2:  0.0000%, max:  1.7543e-03, min:  0.0000e+00, mean:  1.8589e-04, non_zero_mean:  3.5008e-04, 50%:  1.1697e-06, 75%:  4.2724e-04, 90%:  5.5839e-04, 95%:  6.1905e-04, 99%:  9.4249e-04
3:  0.0000%, max:  2.2077e-03, min:  0.0000e+00, mean:  2.1661e-04, non_zero_mean:  3.5928e-04, 50%:  1.8477e-06, 75%:  4.7391e-04, 90%:  5.7756e-04, 95%:  6.3732e-04, 99%:  1.0806e-03
4:  0.0061%, max:  3.0972e-02, min:  0.0000e+00, mean:  2.5357e-04, non_zero_mean:  3.7808e-04, 50%:  4.1015e-06, 75%:  4.9281e-04, 90%:  6.0730e-04, 95%:  6.6110e-04, 99%:  1.2639e-03
5:  0.0000%, max:  2.5015e-03, min:  0.0000e+00, mean:  2.8741e-04, non_zero_mean:  3.9345e-04, 50%:  2.8942e-04, 75%:  5.2918e-04, 90%:  6.1999e-04, 95%:  7.9959e-04, 99%:  1.4242e-03
6:  0.0000%, max:  2.5554e-03, min:  0.0000e+00, mean:  2.7820e-04, non_zero_mean:  3.7764e-04, 50%:  1.8262e-05, 75%:  5.0970e-04, 90%:  6.1608e-04, 95%:  7.9778e-04, 99%:  1.4268e-03
7:  0.0061%, max:  1.3757e-02, min:  0.0000e+00, mean:  3.0002e-04, non_zero_mean:  3.8960e-04, 50%:  3.0852e-04, 75%:  5.3275e-04, 90%:  6.3401e-04, 95%:  9.2699e-04, 99%:  1.5037e-03
8:  0.0244%, max:  7.6550e-02, min:  0.0000e+00, mean:  3.6987e-04, non_zero_mean:  4.4974e-04, 50%:  3.9714e-04, 75%:  5.4253e-04, 90%:  7.3572e-04, 95%:  1.1220e-03, 99%:  1.7099e-03
9:  0.0000%, max:  2.6382e-03, min:  0.0000e+00, mean:  3.3259e-04, non_zero_mean:  4.1325e-04, 50%:  3.6005e-04, 75%:  5.3385e-04, 90%:  6.6312e-04, 95%:  1.0626e-03, 99%:  1.6367e-03
10:  0.0305%, max:  8.3914e-02, min:  0.0000e+00, mean:  3.9637e-04, non_zero_mean:  4.6504e-04, 50%:  3.9786e-04, 75%:  5.4966e-04, 90%:  8.8666e-04, 95%:  1.2797e-03, 99%:  1.9194e-03
11:  0.0916%, max:  1.5151e-01, min:  0.0000e+00, mean:  4.7005e-04, non_zero_mean:  5.3746e-04, 50%:  4.1556e-04, 75%:  5.7267e-04, 90%:  9.3496e-04, 95%:  1.3092e-03, 99%:  1.9600e-03
12:  0.0000%, max:  2.9628e-03, min:  0.0000e+00, mean:  4.2617e-04, non_zero_mean:  4.8194e-04, 50%:  4.2060e-04, 75%:  5.7290e-04, 90%:  1.0406e-03, 95%:  1.4299e-03, 99%:  2.0253e-03
