Start to record CBF use ratio, in 2026.02.27 12: 18: 28

25:  6.8909%, max:  4.9729e-01, min:  0.0000e+00, mean:  1.4232e-02, non_zero_mean:  1.8217e-02, 50%:  4.5709e-06, 75%:  5.3403e-04, 90%:  1.9121e-03, 95%:  1.1543e-01, 99%:  3.2592e-01
26:  8.6121%, max:  4.7113e-01, min:  0.0000e+00, mean:  1.7951e-02, non_zero_mean:  2.2011e-02, 50%:  7.8082e-06, 75%:  5.6705e-04, 90%:  2.3625e-03, 95%:  1.8123e-01, 99%:  3.4064e-01
27:  6.0181%, max:  4.5782e-01, min:  0.0000e+00, mean:  1.1660e-02, non_zero_mean:  1.4960e-02, 50%:  4.0531e-06, 75%:  5.3360e-04, 90%:  1.7019e-03, 95%:  7.3385e-02, 99%:  3.0780e-01
28:  8.2458%, max:  5.9767e-01, min:  0.0000e+00, mean:  1.5495e-02, non_zero_mean:  1.8756e-02, 50%:  7.0091e-06, 75%:  5.3791e-04, 90%:  2.3232e-03, 95%:  1.3350e-01, 99%:  3.2910e-01
29:  9.7351%, max:  5.7291e-01, min:  0.0000e+00, mean:  1.9830e-02, non_zero_mean:  2.4421e-02, 50%:  5.6624e-06, 75%:  5.4068e-04, 90%:  3.0507e-03, 95%:  1.9793e-01, 99%:  3.3985e-01
30:  5.4565%, max:  5.9008e-01, min:  0.0000e+00, mean:  1.0598e-02, non_zero_mean:  1.3692e-02, 50%:  3.6359e-06, 75%:  5.3339e-04, 90%:  1.6558e-03, 95%:  4.0681e-02, 99%:  3.0866e-01
31:  8.1238%, max:  5.8324e-01, min:  0.0000e+00, mean:  1.4887e-02, non_zero_mean:  1.8633e-02, 50%:  4.8280e-06, 75%:  5.3459e-04, 90%:  2.2145e-03, 95%:  1.2013e-01, 99%:  3.2879e-01
32:  5.4321%, max:  4.7067e-01, min:  0.0000e+00, mean:  8.1895e-03, non_zero_mean:  1.0761e-02, 50%:  3.1590e-06, 75%:  5.0883e-04, 90%:  1.5451e-03, 95%:  2.4934e-02, 99%:  2.5692e-01
33:  7.3486%, max:  5.7993e-01, min:  0.0000e+00, mean:  1.3108e-02, non_zero_mean:  1.6991e-02, 50%:  3.5316e-06, 75%:  5.3344e-04, 90%:  1.9088e-03, 95%:  9.5269e-02, 99%:  3.2153e-01
34:  5.2185%, max:  6.0226e-01, min:  0.0000e+00, mean:  7.1764e-03, non_zero_mean:  9.6405e-03, 50%:  2.8014e-06, 75%:  4.9304e-04, 90%:  1.4471e-03, 95%:  1.6254e-02, 99%:  2.4190e-01
35:  5.5481%, max:  5.2511e-01, min:  0.0000e+00, mean:  7.3288e-03, non_zero_mean:  9.8687e-03, 50%:  2.8014e-06, 75%:  4.9665e-04, 90%:  1.4517e-03, 95%:  2.4243e-02, 99%:  2.2183e-01
36:  10.0830%, max:  5.3559e-01, min:  0.0000e+00, mean:  1.5506e-02, non_zero_mean:  1.9859e-02, 50%:  4.0755e-06, 75%:  5.3404e-04, 90%:  1.2322e-02, 95%:  1.2884e-01, 99%:  3.0945e-01
37:  11.9568%, max:  5.9136e-01, min:  0.0000e+00, mean:  2.0788e-02, non_zero_mean:  2.6068e-02, 50%:  4.7088e-06, 75%:  5.4414e-04, 90%:  5.2976e-02, 95%:  1.8329e-01, 99%:  3.3686e-01
38:  9.5398%, max:  5.0346e-01, min:  0.0000e+00, mean:  1.3137e-02, non_zero_mean:  1.6723e-02, 50%:  4.2841e-06, 75%:  5.3372e-04, 90%:  3.0594e-03, 95%:  1.0201e-01, 99%:  2.8384e-01
39:  8.1177%, max:  5.5149e-01, min:  0.0000e+00, mean:  1.0161e-02, non_zero_mean:  1.3404e-02, 50%:  3.3379e-06, 75%:  5.3307e-04, 90%:  2.0694e-03, 95%:  7.6503e-02, 99%:  2.3276e-01
40:  5.5115%, max:  5.3255e-01, min:  0.0000e+00, mean:  6.3694e-03, non_zero_mean:  8.8345e-03, 50%:  2.3842e-06, 75%:  4.4152e-04, 90%:  1.4149e-03, 95%:  2.2026e-02, 99%:  1.8751e-01
41:  9.1492%, max:  5.5563e-01, min:  0.0000e+00, mean:  1.0706e-02, non_zero_mean:  1.3761e-02, 50%:  3.9935e-06, 75%:  5.3368e-04, 90%:  2.7166e-03, 95%:  7.8791e-02, 99%:  2.3877e-01
42:  6.1035%, max:  5.0733e-01, min:  0.0000e+00, mean:  5.8324e-03, non_zero_mean:  7.9557e-03, 50%:  2.5779e-06, 75%:  4.7547e-04, 90%:  1.5372e-03, 95%:  2.9336e-02, 99%:  1.5183e-01
43:  6.7383%, max:  5.1129e-01, min:  0.0000e+00, mean:  6.4770e-03, non_zero_mean:  9.1701e-03, 50%:  2.2054e-06, 75%:  4.2291e-04, 90%:  1.5488e-03, 95%:  3.7129e-02, 99%:  1.8285e-01
44:  6.6895%, max:  4.2929e-01, min:  0.0000e+00, mean:  6.1373e-03, non_zero_mean:  8.7065e-03, 50%:  2.1458e-06, 75%:  3.9334e-04, 90%:  1.3910e-03, 95%:  3.8911e-02, 99%:  1.5478e-01
45:  7.4341%, max:  4.3408e-01, min:  0.0000e+00, mean:  6.6306e-03, non_zero_mean:  9.2321e-03, 50%:  2.3765e-06, 75%:  4.2998e-04, 90%:  1.7744e-03, 95%:  4.2683e-02, 99%:  1.5568e-01
