Start to record CBF use ratio, in 2025.12.30 21: 20: 27

25:  0.4578%, max:  4.2639e-01, min:  0.0000e+00, mean:  2.1060e-03, non_zero_mean:  2.1093e-03, 50%:  1.4562e-03, 75%:  1.8589e-03, 90%:  2.2362e-03, 95%:  2.4274e-03, 99%:  2.8472e-03
26:  0.4456%, max:  3.8700e-01, min:  2.9802e-08, mean:  2.1302e-03, non_zero_mean:  2.1312e-03, 50%:  1.4725e-03, 75%:  1.8936e-03, 90%:  2.2932e-03, 95%:  2.4942e-03, 99%:  2.8462e-03
27:  0.4639%, max:  3.8626e-01, min:  4.4703e-08, mean:  2.0619e-03, non_zero_mean:  2.0638e-03, 50%:  1.4695e-03, 75%:  1.8746e-03, 90%:  2.2729e-03, 95%:  2.4711e-03, 99%:  2.8974e-03
28:  0.9155%, max:  3.9911e-01, min:  1.4901e-07, mean:  2.5377e-03, non_zero_mean:  2.5398e-03, 50%:  1.4850e-03, 75%:  1.8923e-03, 90%:  2.2972e-03, 95%:  2.5152e-03, 99%:  3.1661e-03
29:  0.6653%, max:  3.8625e-01, min:  0.0000e+00, mean:  2.3070e-03, non_zero_mean:  2.3113e-03, 50%:  1.4427e-03, 75%:  1.8520e-03, 90%:  2.2640e-03, 95%:  2.5090e-03, 99%:  2.9675e-03
30:  1.1658%, max:  3.4958e-01, min:  0.0000e+00, mean:  3.1966e-03, non_zero_mean:  3.2011e-03, 50%:  1.4775e-03, 75%:  1.9106e-03, 90%:  2.3143e-03, 95%:  2.5377e-03, 99%:  4.7792e-02
31:  0.6836%, max:  3.8275e-01, min:  0.0000e+00, mean:  2.5410e-03, non_zero_mean:  2.5434e-03, 50%:  1.4962e-03, 75%:  1.9356e-03, 90%:  2.3613e-03, 95%:  2.5595e-03, 99%:  3.0025e-03
32:  1.7090%, max:  4.2375e-01, min:  0.0000e+00, mean:  4.4124e-03, non_zero_mean:  4.4181e-03, 50%:  1.5510e-03, 75%:  2.0118e-03, 90%:  2.4713e-03, 95%:  2.7206e-03, 99%:  1.5326e-01
33:  1.1780%, max:  3.9224e-01, min:  5.9605e-08, mean:  3.3716e-03, non_zero_mean:  3.3751e-03, 50%:  1.5149e-03, 75%:  1.9489e-03, 90%:  2.3967e-03, 95%:  2.6194e-03, 99%:  4.7062e-02
34:  0.7996%, max:  4.2088e-01, min:  0.0000e+00, mean:  2.4675e-03, non_zero_mean:  2.4706e-03, 50%:  1.4741e-03, 75%:  1.8904e-03, 90%:  2.3050e-03, 95%:  2.5383e-03, 99%:  3.0686e-03
35:  0.4761%, max:  4.0521e-01, min:  0.0000e+00, mean:  2.0360e-03, non_zero_mean:  2.0383e-03, 50%:  1.4941e-03, 75%:  1.9281e-03, 90%:  2.3270e-03, 95%:  2.5312e-03, 99%:  2.9643e-03
36:  0.5676%, max:  3.9453e-01, min:  0.0000e+00, mean:  2.1183e-03, non_zero_mean:  2.1208e-03, 50%:  1.4858e-03, 75%:  1.9061e-03, 90%:  2.3260e-03, 95%:  2.5393e-03, 99%:  2.9494e-03
37:  0.8606%, max:  3.4459e-01, min:  4.4703e-08, mean:  2.3868e-03, non_zero_mean:  2.3902e-03, 50%:  1.4873e-03, 75%:  1.9050e-03, 90%:  2.3453e-03, 95%:  2.5798e-03, 99%:  3.1335e-03
38:  1.0071%, max:  3.6350e-01, min:  0.0000e+00, mean:  2.6756e-03, non_zero_mean:  2.6784e-03, 50%:  1.4966e-03, 75%:  1.9325e-03, 90%:  2.3898e-03, 95%:  2.6528e-03, 99%:  1.0330e-02
39:  1.3062%, max:  4.6217e-01, min:  0.0000e+00, mean:  3.2050e-03, non_zero_mean:  3.2093e-03, 50%:  1.5129e-03, 75%:  1.9630e-03, 90%:  2.4123e-03, 95%:  2.6579e-03, 99%:  6.4301e-02
40:  0.7935%, max:  4.3414e-01, min:  8.9407e-08, mean:  2.5356e-03, non_zero_mean:  2.5387e-03, 50%:  1.5477e-03, 75%:  2.0117e-03, 90%:  2.5071e-03, 95%:  2.7587e-03, 99%:  3.3076e-03
41:  0.4761%, max:  4.1499e-01, min:  1.1921e-07, mean:  2.1953e-03, non_zero_mean:  2.1988e-03, 50%:  1.5093e-03, 75%:  1.9787e-03, 90%:  2.4708e-03, 95%:  2.7062e-03, 99%:  3.1383e-03
42:  0.7507%, max:  3.6185e-01, min:  1.1921e-07, mean:  2.2260e-03, non_zero_mean:  2.2296e-03, 50%:  1.4696e-03, 75%:  1.9313e-03, 90%:  2.3610e-03, 95%:  2.6089e-03, 99%:  3.2018e-03
43:  0.4150%, max:  2.3549e-01, min:  0.0000e+00, mean:  1.8045e-03, non_zero_mean:  1.8082e-03, 50%:  1.5090e-03, 75%:  1.9901e-03, 90%:  2.4451e-03, 95%:  2.6786e-03, 99%:  3.1252e-03
44:  0.3845%, max:  4.6238e-01, min:  0.0000e+00, mean:  2.0246e-03, non_zero_mean:  2.0271e-03, 50%:  1.5095e-03, 75%:  1.9786e-03, 90%:  2.4425e-03, 95%:  2.6844e-03, 99%:  3.1194e-03
45:  1.3611%, max:  4.6028e-01, min:  5.9605e-08, mean:  3.4522e-03, non_zero_mean:  3.4549e-03, 50%:  1.4306e-03, 75%:  1.9506e-03, 90%:  2.4602e-03, 95%:  2.7435e-03, 99%:  7.1595e-02
46:  0.5371%, max:  4.3970e-01, min:  5.9605e-08, mean:  2.3241e-03, non_zero_mean:  2.3259e-03, 50%:  1.4749e-03, 75%:  1.9853e-03, 90%:  2.4627e-03, 95%:  2.7230e-03, 99%:  3.2173e-03
47:  0.8179%, max:  3.9458e-01, min:  5.9605e-08, mean:  2.6496e-03, non_zero_mean:  2.6519e-03, 50%:  1.4883e-03, 75%:  1.9778e-03, 90%:  2.4708e-03, 95%:  2.7518e-03, 99%:  3.3823e-03
48:  1.8127%, max:  4.3984e-01, min:  0.0000e+00, mean:  4.2753e-03, non_zero_mean:  4.2815e-03, 50%:  1.5071e-03, 75%:  2.0143e-03, 90%:  2.5365e-03, 95%:  2.8335e-03, 99%:  1.3015e-01
49:  0.9399%, max:  4.2626e-01, min:  0.0000e+00, mean:  2.9395e-03, non_zero_mean:  2.9431e-03, 50%:  1.5673e-03, 75%:  2.0926e-03, 90%:  2.5896e-03, 95%:  2.8667e-03, 99%:  3.6163e-03
50:  1.0742%, max:  4.7607e-01, min:  0.0000e+00, mean:  2.8820e-03, non_zero_mean:  2.8859e-03, 50%:  1.5500e-03, 75%:  2.0699e-03, 90%:  2.6027e-03, 95%:  2.8841e-03, 99%:  3.1353e-02
51:  1.6418%, max:  4.2279e-01, min:  0.0000e+00, mean:  4.0865e-03, non_zero_mean:  4.0932e-03, 50%:  1.4993e-03, 75%:  2.0010e-03, 90%:  2.5392e-03, 95%:  2.8572e-03, 99%:  1.2982e-01
52:  2.6855%, max:  5.1634e-01, min:  0.0000e+00, mean:  5.5821e-03, non_zero_mean:  5.5882e-03, 50%:  1.5447e-03, 75%:  2.0712e-03, 90%:  2.6212e-03, 95%:  2.9996e-03, 99%:  1.9012e-01
53:  3.2837%, max:  4.4091e-01, min:  0.0000e+00, mean:  6.7457e-03, non_zero_mean:  6.7531e-03, 50%:  1.5296e-03, 75%:  2.0611e-03, 90%:  2.6153e-03, 95%:  3.0098e-03, 99%:  2.1158e-01
54:  3.3569%, max:  5.0510e-01, min:  0.0000e+00, mean:  6.6650e-03, non_zero_mean:  6.6719e-03, 50%:  1.5964e-03, 75%:  2.1719e-03, 90%:  2.7217e-03, 95%:  3.0738e-03, 99%:  1.9998e-01
55:  3.7354%, max:  4.9262e-01, min:  2.9802e-08, mean:  7.2309e-03, non_zero_mean:  7.2367e-03, 50%:  1.6080e-03, 75%:  2.2255e-03, 90%:  2.8205e-03, 95%:  3.2814e-03, 99%:  2.1292e-01
56:  2.7893%, max:  4.5693e-01, min:  1.4901e-08, mean:  6.0560e-03, non_zero_mean:  6.0623e-03, 50%:  1.5602e-03, 75%:  2.1111e-03, 90%:  2.7255e-03, 95%:  3.0766e-03, 99%:  2.0435e-01
57:  2.4963%, max:  4.6540e-01, min:  5.5879e-09, mean:  5.7298e-03, non_zero_mean:  5.7350e-03, 50%:  1.5437e-03, 75%:  2.1133e-03, 90%:  2.7169e-03, 95%:  3.0507e-03, 99%:  2.0833e-01
