Start to record CBF use ratio, in 2026.02.16 18: 11: 46

0:  0.0000%, max:  1.2530e-03, min:  3.7253e-09, mean:  5.2632e-04, non_zero_mean:  6.1801e-04, 50%:  5.6676e-04, 75%:  7.3841e-04, 90%:  9.0174e-04, 95%:  1.0025e-03, 99%:  1.1335e-03
1:  0.0000%, max:  1.4734e-03, min:  3.3792e-23, mean:  5.5685e-04, non_zero_mean:  6.1443e-04, 50%:  5.8099e-04, 75%:  7.4357e-04, 90%:  9.3915e-04, 95%:  1.0613e-03, 99%:  1.2831e-03
2:  0.1953%, max:  6.1143e-02, min:  3.7253e-09, mean:  7.1925e-04, non_zero_mean:  7.7525e-04, 50%:  6.2476e-04, 75%:  8.3280e-04, 90%:  1.0455e-03, 95%:  1.1598e-03, 99%:  1.3414e-03
3:  0.0000%, max:  1.4886e-03, min:  5.2042e-17, mean:  6.0282e-04, non_zero_mean:  6.6087e-04, 50%:  6.0694e-04, 75%:  8.2007e-04, 90%:  1.0013e-03, 95%:  1.0942e-03, 99%:  1.2697e-03
4:  0.0000%, max:  1.4837e-03, min:  4.6566e-09, mean:  6.3128e-04, non_zero_mean:  6.6572e-04, 50%:  6.2196e-04, 75%:  8.3507e-04, 90%:  1.0101e-03, 95%:  1.1115e-03, 99%:  1.3119e-03
5:  0.5859%, max:  1.6012e-01, min:  2.2352e-08, mean:  1.3050e-03, non_zero_mean:  1.3649e-03, 50%:  6.2221e-04, 75%:  8.0722e-04, 90%:  9.9566e-04, 95%:  1.1306e-03, 99%:  1.3932e-03
6:  0.0000%, max:  1.4792e-03, min:  5.5879e-09, mean:  6.1736e-04, non_zero_mean:  6.5238e-04, 50%:  6.1723e-04, 75%:  8.0434e-04, 90%:  9.8893e-04, 95%:  1.0820e-03, 99%:  1.2273e-03
7:  0.7812%, max:  2.1244e-01, min:  1.8626e-08, mean:  1.3984e-03, non_zero_mean:  1.4493e-03, 50%:  6.8266e-04, 75%:  9.1142e-04, 90%:  1.0980e-03, 95%:  1.2330e-03, 99%:  1.6626e-03
8:  0.1953%, max:  1.2526e-01, min:  5.5879e-09, mean:  8.5702e-04, non_zero_mean:  8.8110e-04, 50%:  6.7885e-04, 75%:  8.9075e-04, 90%:  1.0773e-03, 95%:  1.2036e-03, 99%:  1.3870e-03
